Date,House Price
2021-08-01,260429
2021-09-01,269003
2021-10-01,263333
2021-11-01,267370
2021-12-01,268115
2022-01-01,272738
2022-02-01,272454
2022-03-01,273787
2022-04-01,276917
2022-05-01,280433
2022-06-01,282777
2022-07-01,288156
2022-08-01,290541
2022-09-01,291716
2022-10-01,291233
2022-11-01,291518
2022-12-01,289728
2023-01-01,286321
2023-02-01,284152
2023-03-01,281555
2023-04-01,282166
2023-05-01,283165
2023-06-01,286315
2023-07-01,289632
2023-08-01,292882
